------ITER 1------
EPOCH ::: 1
Training Net (17/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.4469 | Loss_v: 128.550
EPOCH ::: 7
Training Net (1/17) Data: 0.002s | Batch: 1.410s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 4.5077 | Loss_v: 128.277
Training Net (2/17) Data: 0.003s | Batch: 1.365s | Total: 0:00:02 | ETA: 0:00:23 | Loss_pi: 4.5319 | Loss_v: 128.468
Training Net (3/17) Data: 0.003s | Batch: 1.382s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 4.5032 | Loss_v: 128.175
Training Net (4/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 4.4411 | Loss_v: 128.150
Training Net (5/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 4.4500 | Loss_v: 128.235
Training Net (6/17) Data: 0.003s | Batch: 1.382s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.4237 | Loss_v: 128.159
Training Net (7/17) Data: 0.003s | Batch: 1.378s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.4124 | Loss_v: 128.247
Training Net (8/17) Data: 0.003s | Batch: 1.368s | Total: 0:00:10 | ETA: 0:00:14 | Loss_pi: 4.3783 | Loss_v: 128.233
Training Net (9/17) Data: 0.003s | Batch: 1.374s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.3539 | Loss_v: 128.239
Training Net (10/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:13 | ETA: 0:00:11 | Loss_pi: 4.3326 | Loss_v: 128.159
Training Net (11/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.3041 | Loss_v: 128.189
Training Net (12/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.2976 | Loss_v: 128.083
Training Net (13/17) Data: 0.003s | Batch: 1.367s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.3039 | Loss_v: 128.416
Training Net (14/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.2931 | Loss_v: 128.476
Training Net (15/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.2816 | Loss_v: 128.396
Training Net (16/17) Data: 0.003s | Batch: 1.370s | Total: 0:00:21 | ETA: 0:00:03 | Loss_pi: 4.2785 | Loss_v: 128.562
Training Net (17/17) Data: 0.003s | Batch: 1.374s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.2736 | Loss_v: 128.529
EPOCH ::: 8
Training Net (1/17) Data: 0.002s | Batch: 1.325s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 4.3677 | Loss_v: 127.981
Training Net (2/17) Data: 0.003s | Batch: 1.359s | Total: 0:00:02 | ETA: 0:00:22 | Loss_pi: 4.2342 | Loss_v: 128.412
Training Net (3/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:04 | ETA: 0:00:21 | Loss_pi: 4.3012 | Loss_v: 128.373
Training Net (4/17) Data: 0.003s | Batch: 1.360s | Total: 0:00:05 | ETA: 0:00:20 | Loss_pi: 4.2890 | Loss_v: 128.092
